GEOID,NAME,ST,dist_cent,dist_min,pop12,male,Over65,Over75,Deaths,AgeAdj,Crude,StdPop,dist_cent_sens,dist_min_sens,region,division,RUCC_2013,Urbanization,num_provs
47113,Madison,TN,1.8960275997743479,0,97976,0.47561647750469505,0.13238956479137748,0.05975953294684413,147,20.84286261,21.40956498,686609,1.8772327285330428,0,SOUTH,East South Central,3,Metro,3
48445,Terry,TX,32.71053984428207,11.628427212440457,12561,0.5447814664437545,0.14242496616511424,0.06368919672000636,24,25.87736789,27.16899112,88336,32.71053984428207,11.628427212440457,SOUTH,West South Central,6,Nonmetro,0
48483,Wheeler,TX,92.32980650605043,75.98030244792947,5414,0.5036941263391208,0.18230513483561137,0.078684891023273,NA,NA,NA,38512,92.32980650605043,75.98030244792947,SOUTH,West South Central,9,Rural,0
53039,Klickitat,WA,51.503071199269186,38.30043951748473,20421,0.5023260369227756,0.18128397238137212,0.06894863131090544,40,27.53656214,27.85554116,143598,51.51459551456955,38.309739400749436,WEST,Pacific,6,Nonmetro,0
54035,Jackson,WV,33.699479652899356,14.302735191367855,29206,0.492741217558036,0.17760049304937342,0.080908032596041915,33,14.35557584,16.14773711,204363,33.703271514255206,14.306322071762066,SOUTH,South Atlantic,6,Nonmetro,0
48127,Dimmit,TX,60.95819012954861,43.327204414113105,10054,0.48279291824149595,0.14819972150387906,0.06614282872488562,NA,NA,NA,72329,63.5924546360378,46.21028700176632,SOUTH,West South Central,6,Nonmetro,0
27133,Rock,MN,24.969846510310283,12.991157700216727,9620,0.4915800415800416,0.19095634095634095,0.10831600831600832,22,29.7150682,32.73225019,67212,24.970322178706418,12.991207217809217,MIDWEST,West North Central,6,Nonmetro,0
54101,Webster,WV,58.25151650244527,41.54454114681522,9158,0.4941035160515396,0.18486569119895174,0.07872898012666521,NA,NA,NA,63460,47.809025588475905,29.61776376985254,SOUTH,South Atlantic,9,Rural,0
55005,Barron,WI,45.27584678736968,27.228755318045902,45882,0.4993679438559784,0.18331807680571902,0.08759426354561702,77,20.43928832,24.02481108,320502,45.27584678736968,27.228755318045902,MIDWEST,East North Central,6,Nonmetro,0
17165,Saline,IL,26.810567638595764,17.691520153033398,24975,0.4860860860860861,0.18542542542542542,0.08804804804804804,35,19.37486895,20.06788679,174408,26.817533816068398,17.698330560041708,MIDWEST,East North Central,6,Nonmetro,0
18001,Adams,IN,26.134941222367598,12.507539136046775,34343,0.4948897883120287,0.1386308709198381,0.07104795737122557,26,9.998869473,10.78033004,241180,26.142611999318618,12.517653086793207,MIDWEST,East North Central,6,Nonmetro,0
01125,Tuscaloosa,AL,5.799445819331055,0,194254,0.4837583782058542,0.10887806686091406,0.04988829058861079,159,12.02538066,11.57342538,1373837,5.828391039240036,0,SOUTH,East South Central,3,Metro,2
04017,Navajo,AZ,75.74575214604545,50.42169500877503,107415,0.5002653260717776,0.13391984359726294,0.05042126332448913,260,36.50816819,34.55425017,752440,75.80786149022157,50.44484300569459,WEST,Mountain,4,Nonmetro,0
56019,Johnson,WY,84.61450287342015,45.07276885700472,8564,0.5119103222793088,0.185894441849603,0.0837225595516114,NA,NA,NA,60022,83.49529584228753,44.688095558956725,WEST,Mountain,7,Nonmetro,0
55089,Ozaukee,WI,11.00273214370567,0,86429,0.48917608673014845,0.15398766617686194,0.0734012889192285,73,11.07098921,12.02437819,607100,23.972902300229876,9.57252646404683,MIDWEST,East North Central,1,Metro,0
39001,Adams,OH,49.783634121768195,33.833073389438546,28524,0.4942855139531622,0.15113588557004629,0.06292946290842799,63,31.53158469,31.6773934,198880,52.18443646678333,35.79007979531111,MIDWEST,East North Central,6,Nonmetro,0
28091,Marion,MS,27.81433728367217,17.406143007045166,26810,0.48295412159641926,0.14908616187989557,0.07049608355091384,77,40.65045931,41.37982921,186081,29.644947715625683,19.043119475145094,SOUTH,East South Central,6,Nonmetro,0
51045,Craig,VA,20.03659240136694,12.38769308796785,5186,0.47975318164288466,0.16216737369841883,0.07578094870806017,22,56.36980131,60.55101423,36333,18.029982131571526,10.421116266923391,SOUTH,South Atlantic,2,Metro,0
51580,Covington,VA,35.6042350015325,33.54561363998875,5903,0.5053362696933762,0.1870235473488057,0.09215653057767237,NA,NA,NA,41211,25.16463596819016,24.05519797563257,SOUTH,South Atlantic,6,Nonmetro,0
51600,Fairfax,VA,3.357384512091982,1.6027753572698307,22712,0.4907537865445579,0.13798872842550194,0.06525184924269109,56,30.51321713,34.56256751,162025,3.357384512091982,1.6027753572698307,SOUTH,South Atlantic,1,Metro,0
17081,Jefferson,IL,38.717528595285266,26.173404220532543,38908,0.5145214351804256,0.16348822864192453,0.07692505397347589,47,15.11962777,17.28894611,271850,38.62935362522115,26.082724544631976,MIDWEST,East North Central,7,Nonmetro,0
13035,Butts,GA,21.669944705485218,14.986592755553788,23671,0.5333108022474758,0.12580795065692196,0.04908960331206962,49,29.3393201,29.74438044,164737,21.669944705485218,14.986592755553788,SOUTH,South Atlantic,1,Metro,0
